FPSOffloading,serverTimeOffloading,slamTimeOffloading,streamingTimeOffloading,renderTimeOffloading,videoTimeOffloading
14.94768311444515,1170.6000000238419,185.65180000662804,984.9482000172138,2.199999988079071,33.5
0.8223684210526315,703.3000000119209,197.23735800385475,506.0626420080662,7.0999999940395355,30.80000001192093
1.161035643778195,613.9000000059605,187.71837002038956,426.1816299855709,56.099999994039536,28.19999998807907
1.2291052114151009,544.8000000119209,158.38029599189758,386.41970402002335,7.5999999940395355,30
1.466490687771314,525.1000000238419,160.22687801718712,364.87312200665474,5.399999976158142,26.19999998807907
1.6917611233464451,511,162.53967997431755,348.46032002568245,6.699999988079071,28.30000001192093
1.8109380658595036,495.5,151.01005101203918,344.4899489879608,6.0999999940395355,35.099999994039536
1.7602534765190845,512,170.64097300171852,341.3590269982815,5.799999982118607,27
1.7176228100660866,490.2000000178814,164.6823169887066,325.5176830291748,7.299999982118607,28.599999994039536
1.7924359203966953,488.69999998807907,163.02786999940872,325.67212998867035,6.300000011920929,26.400000005960464
1.8964536316658307,496.19999998807907,158.13831901550293,338.06168097257614,6.199999988079071,38
1.748557440184803,480,155.24042800068855,324.75957199931145,5.9000000059604645,27.80000001192093
1.8201674553861502,495.80000001192093,169.53718000650406,326.26282000541687,6.699999988079071,27.5
1.7752529735111615,478.59999999403954,155.2448870241642,323.35511296987534,6.300000011920929,27.19999998807907
1.8355359765653854,485.19999998807907,160.25271999835968,324.9472799897194,5.699999988079071,26.600000023841858
1.809299800918486,401.60000002384186,76.09404599666595,325.5059540271759,6.399999976158142,26.299999982118607
2.160760587810366,395,148.94344198703766,246.05655801296234,6,27.100000023841858
2.1715526601520088,469.5,173.69747400283813,295.80252599716187,6.200000017881393,26.900000005960464
1.8660197797889115,437.5,156.61065500974655,280.88934499025345,7.899999976158142,28.700000017881393
1.9735543713532862,434.59999999403954,152.2026799917221,282.39732000231743,6.5,27.19999998807907
1.9940179461615155,432.09999999403954,151.1920289993286,280.9079709947109,6.0999999940395355,28.099999994039536
1.9996000800078355,434.90000000596046,151.69505500793457,283.2049449980259,5.5,25.799999982118607
2.005213555291566,438.69999998807907,154.16688299179077,284.5331169962883,6.5,26.30000001192093
1.9758940920999353,445,163.23063200712204,281.76936799287796,6.0999999940395355,25.600000023841858
1.944768572472238,434.89999997615814,153.33332899212837,281.56667098402977,6.9000000059604645,26.400000005960464
1.9876764063046064,434.40000000596046,153.74065998196602,280.65934002399445,7,28.099999994039536
1.983733386256346,432.7999999821186,150.32372498512268,282.4762749969959,6.9000000059604645,27.200000017881393
1.9956096587744856,430.80000001192093,149.13088402152061,281.6691159904003,6.199999988079071,27.80000001192093
2.004409701319007,422.90000000596046,141.79564598202705,281.1043540239334,6.699999988079071,29.80000001192093
2.0242914979757085,425.10000002384186,141.77829399704933,283.3217060267925,6.0999999940395355,28.099999994039536
2.0181634712411705,419.2999999821186,138.38873699307442,280.9112629890442,8.200000017881393,25.80000001192093
2.0500205001549032,422.59999999403954,141.58061900734901,281.0193809866905,5.4000000059604645,28.599999994039536
2.026753141442885,423.19999998807907,141.0994249880314,282.1005750000477,6.5,26.5
2.0354162426956974,421.09999999403954,139.7066870033741,281.39331299066544,5.700000017881393,26
2.1772262137471055,356.5,135.56066599488258,220.93933400511742,4.800000011920929,36.19999998807907
2.336448598130841,256.09999999403954,47.17502599954605,208.92497399449348,3.699999988079071,28.900000005960464
3.2743942370022365,313.90000000596046,115.54660698771477,198.3533930182457,3.800000011920929,32.79999998211861
2.727024816014477,201.40000000596046,32.9147330224514,168.48526698350906,3.5999999940395355,34.5
3.749531308754023,278.69999998807907,113.92292499542236,164.7770749926567,4.200000017881393,34.30000001192093
3.0003000298956906,302.89999997615814,141.63299000263214,161.267009973526,5.4000000059604645,32.80000001192093
2.3612750885478158,302.59999999403954,133.6663190126419,168.93368098139763,5.699999988079071,27.400000005960464
2.7427317608786286,308.19999998807907,143.52784299850464,164.67215698957443,6.4000000059604645,26.400000005960464
2.6896180741472224,216.69999998807907,47.31547099351883,169.38452899456024,5.4000000059604645,26
3.4506556244267252,306.5,143.13962098956108,163.36037901043892,6.199999988079071,29.69999998807907
2.6695141484674627,238.80000001192093,60.131061017513275,178.66893899440765,6.4000000059604645,25.799999982118607
3.628447024751913,331.19999998807907,155.19778499007225,176.00221499800682,9.400000005960464,31.900000005960464
2.4832381426113797,234,55.939060002565384,178.06093999743462,6,25.900000005960464
3.352329869125166,210.19999998807907,46.156295001506805,164.04370498657227,6.300000011920929,29.900000005960464
3.6523009494392302,201.5,43.45863100886345,158.04136899113655,7.299999982118607,26.5
3.8595137013624257,174.80000001192093,39.13917201757431,135.66082799434662,6.399999976158142,27.599999994039536
4.297378599274726,286.5,153.32751899957657,133.17248100042343,6.9000000059604645,26.599999994039536
2.8538812784902667,225.60000002384186,62.00795701146126,163.5920430123806,7.899999976158142,27.69999998807907
3.495281370223116,191.69999998807907,52.586993008852005,139.11300697922707,6.5,28.30000001192093
3.952569169960474,185.59999999403954,47.65872198343277,137.94127801060677,6.9000000059604645,26.900000005960464
4.081632653061225,167.59999999403954,36.94303199648857,130.65696799755096,6.700000017881393,28.80000001192093
4.315925765743743,263.90000000596046,134.2560500204563,129.64394998550415,6.300000011920929,28.799999982118607
3.33222259253536,181.69999998807907,42.532570004463196,139.16742998361588,6.300000011920929,36.30000001192093
4.28632661786928,275.59999999403954,137.1789369881153,138.42106300592422,6.299999982118607,27
2.9455081001472756,272,144.97065699100494,127.02934300899506,6,28.5
