PowerMean, CpuMean
25.2811111111111, 27.454545454545453
25.2811111111111, 27.454545454545453
25.264603174603177, 27.227272727272727
25.2811111111111, 27.454545454545453
25.264603174603177, 27.227272727272727
25.76222222222222, 28.09090909090909
25.2811111111111, 27.454545454545453
25.264603174603177, 27.227272727272727
25.76222222222222, 28.09090909090909
26.083492063492063, 28.393939393939394
25.2811111111111, 27.454545454545453
25.264603174603177, 27.227272727272727
25.76222222222222, 28.09090909090909
26.083492063492063, 28.393939393939394
25.70984126984127, 27.893939393939394
