FPSOffloading,serverTimeOffloading,slamTimeOffloading,streamingTimeOffloading,renderTimeOffloading,videoTimeOffloading,clientMemoryUsageOffloading,serverMemoryUsageOffloading,requestSizeOffloading,responseSizeOffloading
14.184397163120567,691.5999999996275,184.71913399919868,506.8808660004288,4.5,33.80000000074506,10987681,18914208,3686446,7318
1.3051422605044916,1171,227.258069999516,943.741930000484,6.799999998882413,34.5,14560184,19467072,3686446,3318
0.700770847932726,1090.5999999996275,67.45575200021267,1023.1442479994148,30.700000001117587,29.09999999962747,17009106,20209440,3686446,118
0.7732158045317128,542.4000000003725,122.21778499893844,420.1822150014341,3.700000001117587,29,21521345,18818672,3686446,58
1.7253278122798983,343.19999999925494,115.66043899953365,227.5395609997213,4.300000000745058,37.5,25814336,18732768,3686446,8678
2.50062515629839,450.1000000014901,50.258318999782205,399.8416810017079,6,35.5,28140931,18840736,3686446,6298
2,973.2000000011176,170.1775609999895,803.0224390011281,5.199999999254942,28.90000000037253,32685240,18326872,3686446,5138
0.8500510030599144,534.8999999985099,171.06792499870062,363.83207499980927,6.100000001490116,28.700000001117587,35529666,18569392,3686446,7058
1.7289073305659681,565.3999999985099,164.78846400044858,400.6115359980613,6,35.30000000074506,39750028,18218824,3686446,6018
1.564210855621515,924.5999999996275,150.42309600114822,774.1769039984792,5.700000001117587,27.199999999254942,44568032,18617976,3686446,6598
0.9773260359663097,281.7000000011176,141.26628700084984,140.43371300026774,5.299999998882413,26.199999999254942,46918012,18126072,3686446,7658
2.9197080291970803,509.7999999988824,149.16556699946523,360.6344329994172,5.100000001490116,26.90000000037253,51507066,18186704,3686446,5958
1.7250301880305077,774.0999999996275,156.6657640002668,617.4342359993607,6.5,25.800000000745058,10167647,18214440,3686446,5658
1.175364362951486,528,180.0297280009836,347.9702719990164,5.900000000372529,26.5,15061790,18532104,3686446,4878
1.6823687752344771,751.0999999996275,171.79887600056827,579.3011239990592,6.5,25.90000000037253,18395036,17898200,3686446,5638
1.2067093037298167,1167,150.9237959999591,1016.0762040000409,5.800000000745058,27.5,10467066,18368584,3686446,6998
0.8304958059964367,517.7999999988824,142.84922300092876,374.95077699795365,5.100000001490116,44.20000000111759,15205057,18649536,3686446,6778
1.6561775422304836,880.6000000014901,49.111531000584364,831.4884690009058,4.5,29.199999999254942,18461156,18125312,3686446,118
1.0355182768983862,297.5,115.26937800087035,182.23062199912965,5,26.800000000745058,22794479,17882600,3686446,7738
2.75785990070571,489,133.84639400057495,355.15360599942505,5.300000000745058,26.59999999962747,25555992,18218144,3686446,6338
1.7940437746728979,481.59999999962747,138.39707399904728,343.2029260005802,5.099999999627471,25.700000001117587,30170637,18122256,3686446,6058
1.833180568285976,467.7999999988824,131.22791999951005,336.57207999937236,6.400000000372529,25.700000001117587,32738202,18117856,3686446,5458
1.8751171948220569,3113.7000000011176,48.05772200040519,3065.6422780007124,3.599999999627471,26.09999999962747,37610493,18646368,3686446,58
0.31608559597946567,254,102.9986770004034,151.0013229995966,3.699999999254942,30.600000001490116,40181888,18111592,3686446,2418
3.158559696763403,215.90000000037253,32.27218700014055,183.62781300023198,3.900000000372529,33.399999998509884,44248035,18210304,3686446,58
3.3333333333333335,288,107.5333740003407,180.4666259996593,3.800000000745058,29.799999998882413,48557075,18485088,3686446,2598
2.728512960436562,605.2000000011176,34.252460001036525,570.9475400000811,3.599999999627471,32.79999999888241,51484563,18736864,3686446,58
1.4999250037514886,1918.199999999255,115.3727589994669,1802.827240999788,4,35.30000000074506,54983969,17961240,3686446,5038
0.5042101547923281,167.09999999962747,36.330422999337316,130.76957700029016,3.5,28.5,59002201,18279792,3686446,58
4.599816007391234,311.19999999925494,123.1004769988358,188.09952300041914,4.200000001117587,33.30000000074506,63322277,18535064,3686446,9018
2.732987154957589,604.5,50.289094999432564,554.2109050005674,4,31.5,66362186,18071896,3686446,5278
1.5379883112861907,577.5,180.23816199973226,397.26183800026774,5.599999999627471,32.59999999962747,69453098,18142760,3686446,4498
0.9712509712513226,737.3000000007451,158.6437870003283,578.6562130004168,6.199999999254942,27.199999999254942,11211786,18160184,3686446,5458
1.2161011796197971,827.3000000007451,49.14889599941671,778.1511040013283,4.599999999627471,26.300000000745058,14368196,18145584,3686446,118
1.0970927043335161,445.2000000011176,111.39055599831045,333.80944400280714,3.699999999254942,26,18837604,18413400,3686446,58
1.9249278152069298,476.59999999962747,126.90788799896836,349.6921120006591,4.199999999254942,33.70000000111759,21779421,18624584,3686446,9678
1.8744142455482662,543.9000000003725,175.90919500030577,367.99080500006676,6,35.90000000037253,26552021,18127664,3686446,9258
1.4999250037472982,308.40000000037253,150.56697900034487,157.83302100002766,7.300000000745058,26.799999998882413,29207920,18519600,3686446,9358
2.7107617240417192,922.2999999988824,151.43363799899817,770.8663619998842,5.200000001117587,27.09999999962747,32963803,18122440,3686446,8758
0.988826263226644,470.40000000037253,138.0761559996754,332.32384400069714,3.599999999627471,26.5,37459834,18428688,3686446,58
1.9249278152069298,508.90000000037253,137.1242790017277,371.77572099864483,4.299999998882413,31.800000000745058,40534440,18686312,3686446,11358
1.764602082226977,554,178.31832999922335,375.68167000077665,6.099999999627471,31.59999999962747,43340266,18161328,3686446,7858
1.4637002341936336,398.59999999962747,65.75104300118983,332.84895699843764,5.599999999627471,26.300000000745058,47822152,18155768,3686446,2618
2.305209774085483,267.90000000037253,138.4717380013317,129.42826199904084,5.700000001117587,34.899999998509884,52105146,18468152,3686446,7918
