PowerMean, CpuMean
29.089682539682542, 32.39393939393939
29.089682539682542, 32.39393939393939
26.20142857142857, 28.015384615384615
29.089682539682542, 32.39393939393939
26.20142857142857, 28.015384615384615
25.429999999999996, 27.90909090909091
29.089682539682542, 32.39393939393939
26.20142857142857, 28.015384615384615
25.429999999999996, 27.90909090909091
25.950000000000003, 28.181818181818183
29.089682539682542, 32.39393939393939
26.20142857142857, 28.015384615384615
25.429999999999996, 27.90909090909091
25.950000000000003, 28.181818181818183
25.848730158730163, 27.37878787878788
