PowerMean, CpuMean
18.13222222222223, 24.181818181818183
18.13222222222223, 24.181818181818183
16.54936507936508, 21.863636363636363
18.13222222222223, 24.181818181818183
16.54936507936508, 21.863636363636363
15.66063492063492, 19.939393939393938
18.13222222222223, 24.181818181818183
16.54936507936508, 21.863636363636363
15.66063492063492, 19.939393939393938
17.04730158730159, 22.075757575757574
18.13222222222223, 24.181818181818183
16.54936507936508, 21.863636363636363
15.66063492063492, 19.939393939393938
17.04730158730159, 22.075757575757574
15.526984126984127, 20.136363636363637
