TotalSlamTime,SlamTime,TransmitionTime,RenderTime,VideoTime
107,0.010919999331235886,106.98908000066876,16,6
74,63.28244899958372,10.717551000416279,3,7
24,11.03694300353527,12.96305699646473,2,5
20,7.993339002132416,12.006660997867584,1,4
17,7.48191099986434,9.51808900013566,3,5
18,6.947149001061916,11.052850998938084,2,0
20,7.605233002454042,12.394766997545958,1,4
18,7.142645001411438,10.857354998588562,1,3
17,7.122587002813816,9.877412997186184,1,4
17,7.055833000689745,9.944166999310255,2,3
16,6.914127003401518,9.085872996598482,2,3
18,6.380886998027563,11.619113001972437,2,0
15,7.043759997934103,7.956240002065897,2,4
18,7.1787820011377335,10.821217998862267,2,3
15,7.009856998920441,7.990143001079559,12,4
19,6.889139998704195,12.110860001295805,2,4
15,6.120700001716614,8.879299998283386,2,0
14,6.782770998775959,7.217229001224041,2,5
90,81.3049729987979,8.695027001202106,3,5
36,26.41042199730873,9.589578002691269,2,5
22,11.210067000240088,10.789932999759912,2,6
24,14.998115997761488,9.001884002238512,3,5
20,10.783067997545004,9.216932002454996,2,4
55,45.444591999053955,9.555408000946045,3,4
26,17.221192002296448,8.778807997703552,2,4
25,16.758423998951912,8.241576001048088,2,4
24,15.063569001853466,8.936430998146534,2,4
18,9.655202999711037,8.344797000288963,2,4
48,38.573155000805855,9.426844999194145,2,5
27,14.898930002003908,12.101069997996092,3,4
23,14.71186999976635,8.28813000023365,2,3
18,9.587557002902031,8.412442997097969,2,4
21,13.799399998039007,7.200600001960993,2,3
102,38.318578001111746,63.681421998888254,2,5
132,13.556533999741077,118.44346600025892,2,3
52,39.17970099672675,12.820299003273249,3,5
21,11.886924996972084,9.113075003027916,3,5
20,11.244351997971535,8.755648002028465,2,12
36,9.831544000655413,26.168455999344587,3,7
18,10.184245001524687,7.815754998475313,2,9
51,42.02546400204301,8.974535997956991,3,5
22,14.286462001502514,7.713537998497486,1,4
20,12.319948002696037,7.680051997303963,2,0
20,10.658944997936487,9.341055002063513,2,4
19,11.573728997260332,7.426271002739668,2,5
50,40.656539000570774,9.343460999429226,2,4
23,14.331287000328302,8.668712999671698,2,6
18,10.06240700185299,7.937592998147011,2,4
20,10.184073999524117,9.815926000475883,2,5
22,10.988311998546124,11.011688001453876,2,6
55,44.366390999406576,10.633609000593424,2,5
24,14.443936999887228,9.556063000112772,2,4
21,12.042277000844479,8.957722999155521,3,5
21,12.025956001132727,8.974043998867273,2,3
22,11.198396001011133,10.801603998988867,2,6
55,46.27826400101185,8.721735998988152,1,4
23,13.209694001823664,9.790305998176336,2,4
19,10.15302599966526,8.84697400033474,1,5
19,9.92247499898076,9.07752500101924,2,4
19,11.08968199789524,7.910318002104759,2,6
24,10.775972999632359,13.224027000367641,2,6
83,48.16508999839425,34.83491000160575,3,4
24,13.933311000466347,10.066688999533653,2,4
18,10.034013997763395,7.965986002236605,1,5
23,10.108052000403404,12.891947999596596,2,4
34,11.57787599787116,22.42212400212884,3,5
47,39.686782002449036,7.313217997550964,2,4
22,11.99185300245881,10.00814699754119,2,4
20,10.653244998306036,9.346755001693964,3,5
19,10.45244799926877,8.54755200073123,3,5
18,9.64690800011158,8.35309199988842,2,4
19,10.616144001483917,8.383855998516083,2,4
53,44.41235699877143,8.587643001228571,3,5
20,11.082228001207113,8.917771998792887,1,6
20,11.90811500325799,8.09188499674201,2,6
22,11.116282001137733,10.883717998862267,3,5
20,10.57014900073409,9.42985099926591,3,6
19,9.19428999722004,9.80571000277996,2,7
20,10.094046000391245,9.905953999608755,3,0
52,43.346340000629425,8.653659999370575,2,5
21,12.497259996831417,8.502740003168583,2,5
20,11.526931002736092,8.473068997263908,3,4
22,10.991307001560926,11.008692998439074,1,7
19,10.638115998357534,8.361884001642466,2,0
20,11.005294002592564,8.994705997407436,2,4
18,10.282548997551203,7.717451002448797,0,5
17,8.96059200167656,8.03940799832344,2,6
46,37.613065999001265,8.386934000998735,3,6
22,13.257363997399807,8.742636002600193,3,5
19,10.35639800131321,8.64360199868679,3,5
21,11.785014998167753,9.214985001832247,3,4
20,11.438425999134779,8.561574000865221,3,5
20,10.13103500008583,9.86896499991417,3,6
18,9.26340900361538,8.73659099638462,3,5
52,42.728903003036976,9.271096996963024,3,4
24,14.280420999974012,9.719579000025988,4,4
22,12.847645998001099,9.152354001998901,2,4
21,12.578522000461817,8.421477999538183,4,5
23,12.543085999786854,10.456914000213146,3,4
22,11.485753998160362,10.514246001839638,3,5
19,10.92756799980998,8.07243200019002,3,4
21,10.5335390008986,10.4664609991014,3,0
51,41.87619499862194,9.12380500137806,2,4
22,10.979395002126694,11.020604997873306,3,6
17,10.622386001050472,6.377613998949528,2,6
17,9.722929999232292,7.277070000767708,2,0
19,10.263402998447418,8.736597001552582,2,6
53,45.14309699833393,7.856903001666069,2,6
22,13.120818000286818,8.879181999713182,3,6
21,11.853392999619246,9.146607000380754,3,6
20,11.473790999501944,8.526209000498056,2,0
19,11.311117000877857,7.688882999122143,1,4
54,46.60630900040269,7.393690999597311,2,4
25,17.164636000990868,7.835363999009132,2,3
23,15.469099000096321,7.530900999903679,1,4
