PowerMean, CpuMean
20.85920634920635, 28.393939393939394
20.85920634920635, 28.393939393939394
20.089841269841276, 27.045454545454547
20.85920634920635, 28.393939393939394
20.089841269841276, 27.045454545454547
29.095079365079357, 41.90909090909091
20.85920634920635, 28.393939393939394
20.089841269841276, 27.045454545454547
29.095079365079357, 41.90909090909091
20.742222222222214, 27.893939393939394
20.85920634920635, 28.393939393939394
20.089841269841276, 27.045454545454547
29.095079365079357, 41.90909090909091
20.742222222222214, 27.893939393939394
20.21859375, 27.106060606060606
