FPSOffloading,serverTimeOffloading,slamTimeOffloading,streamingTimeOffloading,renderTimeOffloading,videoTimeOffloading,clientMemoryUsageOffloading,serverMemoryUsageOffloading,requestSizeOffloading,responseSizeOffloading
13.458950202086697,1128.2000000011176,176.91458799876273,951.2854120023549,5.099999999627471,36.90000000037253,10699773,18848368,3686446,7318
0.8336807002917882,398.2000000011176,180.50307299941778,217.6969270016998,3.699999999254942,30.5,13072138,18635912,3686446,5398
1.804728388372696,401.19999999925494,194.50650399923325,206.6934960000217,50.90000000037253,28.09999999962747,17723890,18382272,3686446,5118
1.7962996227794832,364.19999999925494,159.37280899845064,204.8271910008043,6.5,27.800000000745058,22060948,18595976,3686446,5058
2.463661000244105,368.69999999925494,67.18403800018132,301.5159619990736,6,32,24792702,18149872,3686446,3038
2.048760499899126,361.80000000074506,158.1116490010172,203.68835099972785,7,27.199999999254942,29230334,18220632,3686446,5398
2.3185717597919604,272.5,68.74641700088978,203.75358299911022,7,26.59999999962747,31751455,18482168,3686446,3218
3.003003003003003,363.40000000037253,153.8986159991473,209.50138400122523,6.900000000372529,28.199999999254942,36274004,18716256,3686446,4898
2.345215759858102,266.59999999962747,62.95139900036156,203.6486009992659,7.599999999627471,27.700000001117587,40423926,17992240,3686446,2938
3.076923076923077,373.30000000074506,169.04648199863732,204.25351800210774,8.399999998509884,26.800000000745058,43023711,18186408,3686446,4198
2.291475710355514,280.59999999962747,77.79826099984348,202.801738999784,7.400000000372529,26.40000000037253,47169318,18205208,3686446,2338
2.9726516052285747,344,139.21563899889588,204.78436100110412,7.900000000372529,27,50523626,18033392,3686446,4898
2.4213075060532687,382.90000000037253,179.09735400043428,203.80264599993825,6.799999998882413,25.90000000037253,54837833,18330992,3686446,5078
2.248201438845155,362.69999999925494,159.25037099979818,203.44962899945676,5.5,27,59142475,17823560,3686446,5158
2.3218017181372876,365,156.36272899992764,208.63727100007236,6,27,14135903,18279184,3686446,5778
2.49003984063976,372.7000000011176,155.85718400031328,216.8428160008043,5.699999999254942,35,18460923,18506472,3686446,5838
2.244165170558429,354.5,149.68413500115275,204.81586499884725,6.5,28.5,20957342,17879128,3686446,6278
2.373605506760578,385.19999999925494,157.22663700021803,227.9733629990369,5.5,28,25407569,18018544,3686446,6378
2.2301516503103684,360.19999999925494,155.73761500045657,204.46238499879837,6,26.90000000037253,13735974,17995152,3686446,6398
2.3674242424221545,359.2999999988824,153.9627560004592,205.33724399842322,6.100000001490116,28.59999999962747,18225200,18202560,3686446,6378
2.5284450063211126,415.80000000074506,197.36053800024092,218.43946200050414,6.5,34.69999999925494,22653963,18168656,3686446,5138
2.0475020475082943,288.5,81.61519800126553,206.88480199873447,7.200000001117587,26.40000000037253,25043194,17893552,3686446,4058
2.8546959748726035,384.59999999962747,179.85203400067985,204.74796599894762,6,28.300000000745058,29661825,18096920,3686446,4698
2.327205026766893,393.19999999925494,178.87379200011492,214.32620799914002,5.400000000372529,31.300000000745058,33354314,17976160,3686446,4638
2.165908598651894,355.30000000074506,152.40095500089228,202.89904499985278,6.800000000745058,26.299999998882413,36223665,17990680,3686446,4938
2.3906287353637863,356.3999999985099,152.9555820003152,203.4444179981947,6.100000001490116,27.600000001490116,40959435,17979120,3686446,5998
2.3758612497009146,356.5,150.43390499986708,206.06609500013292,7.199999999254942,26.200000001117587,44137751,17944240,3686446,6078
2.519526329047774,364.7000000011176,145.08230699971318,219.6176930014044,6.400000000372529,34.69999999925494,48988749,17956568,3686446,5638
2.2825838849597133,357.80000000074506,152.47709899954498,205.32290100120008,6.699999999254942,26.5,52013589,17959944,3686446,5138
2.3618327822369394,356.2999999988824,152.56263799965382,203.7373619992286,7.300000000745058,27.40000000037253,55179240,17986112,3686446,4438
2.358490566037736,356.69999999925494,153.38770100101829,203.31229899823666,6.5,26.800000000745058,60309654,17984008,3686446,4398
2.3337222870478413,362.19999999925494,158.97115000151098,203.22884999774396,7.400000000372529,27,63615351,17987040,3686446,5698
2.3014959723820483,356,151.3757910002023,204.6242089997977,6.800000000745058,27,67092661,18045152,3686446,5618
2.335357309672443,353.7000000011176,150.58540999889374,203.11459000222385,6.199999999254942,26.40000000037253,70652221,18026080,3686446,5378
2.3679848448928147,351.7999999988824,148.81589599885046,202.98410400003195,7.800000000745058,28.800000000745058,74114875,17918656,3686446,4818
2.3496240601524327,357.59999999962747,147.62128700129688,209.9787129983306,7.400000000372529,27.90000000037253,15972878,18099040,3686446,4578
2.317497103128621,359.80000000074506,155.59209599904716,204.2079040016979,8.900000000372529,28,19662886,18292360,3686446,4338
2.2930520522835454,354.80000000074506,146.79290300048888,208.00709700025618,8.199999999254942,27,23472501,18039632,3686446,5438
2.336448598130841,347,142.27358599938452,204.72641400061548,6.5,27.300000000745058,27329415,18205744,3686446,5298
2.390057361374545,345.5,142.32397400029004,203.17602599970996,7.699999999254942,26.800000000745058,31027293,18388608,3686446,5878
2.3792529145806025,342.5,137.98926599882543,204.51073400117457,9.900000000372529,28.09999999962747,34648739,18280296,3686446,5518
2.404424140416216,343.19999999925494,138.75554299913347,204.44445700012147,6.699999999254942,27,38488284,18404936,3686446,5698
2.394636015327807,248.59999999962747,44.82425600104034,203.77574399858713,7.099999999627471,28.09999999962747,43607894,18527104,3686446,118
3.1928480204418226,325.5,119.7920849993825,205.7079150006175,5.300000000745058,28.40000000037253,45787360,18013328,3686446,5238
2.5138260432330997,247.09999999962747,44.08104100078344,203.01895899884403,6.099999999627471,27.5,50899555,18306336,3686446,1318
3.1595576619273302,237,35.52511199936271,201.4748880006373,3.599999999627471,28.09999999962747,52201838,18443720,3686446,58
3.373819163288607,317.69999999925494,113.34542099945247,204.35457899980247,3.800000000745058,32.40000000037253,57429997,18208112,3686446,2538
2.7262813522438574,234.39999999850988,32.75456400029361,201.64543599821627,3.600000001490116,35.600000001490116,58946520,18341888,3686446,58
3.157562361845504,320.3999999985099,116.85235000029206,203.54764999821782,3.900000000372529,33.90000000037253,64340399,18420376,3686446,3958
2.5012506253196483,242.10000000149012,37.417932000011206,204.6820680014789,3.599999999627471,33,69314815,18017904,3686446,58
3.528581510228248,326.80000000074506,121.09709700010717,205.7029030006379,3.899999998509884,31.90000000037253,71206691,18056200,3686446,5838
2.6089225149962334,355.09999999962747,148.31022199988365,206.78977799974382,6.099999999627471,33,76829021,18056976,3686446,5218
1.7525411847189851,262,55.13729899935424,206.86270100064576,7.200000001117587,27.59999999962747,15509085,18052680,3686446,1078
3.0358227079504223,346.69999999925494,143.307920999825,203.39207899942994,6.800000000745058,27.09999999962747,21176632,17990168,3686446,7718
2.6089225150089113,265.59999999962747,49.96046500094235,215.63953499868512,8.5,36.70000000111759,22900815,18266752,3686446,3258
2.930832356379615,239.2000000011176,36.14039500057697,203.0596050005406,5.799999998882413,26.299999998882413,28021937,18374680,3686446,2138
3.30906684315839,349,139.5583589989692,209.4416410010308,7.400000000372529,27.59999999962747,30154427,18014736,3686446,7098
2.363507445050533,263.2000000011176,56.72688299976289,206.4731170013547,7.400000000372529,28,35519835,18065200,3686446,5578
3.0193236714873963,258.2999999988824,53.04320699907839,205.25679299980402,7.300000000745058,27.40000000037253,37056396,18055008,3686446,4938
3.077870113877665,255.19999999925494,50.48319999873638,204.71680000051856,6.300000000745058,29,42331955,18214664,3686446,4678
2.6737967914438503,246.5,43.12562199868262,203.37437800131738,8.099999999627471,31,44237083,18390960,3686446,3718
3.1338138514608818,345.80000000074506,141.0067189987749,204.79328100197017,7.699999999254942,28.299999998882413,50059446,18515664,3686446,5298
